studentId,firstName,lastName,dob,class,score
1.0,sabmc,zgy,2000-02-24,Class5,77
2.0,wpwq,uxy,2005-05-09,Class1,69
3.0,gnyq,hcqt,2005-06-27,Class1,70
4.0,krbnljag,tqxbdvlf,2008-08-08,Class3,71
5.0,zlu,ljmljgmn,2007-09-28,Class4,78
6.0,xwhl,dlthg,2008-11-01,Class4,73
7.0,ertso,bocjx,2002-07-16,Class4,69
8.0,wuiwv,yacgjya,2009-04-24,Class1,77
9.0,rzviu,twf,2008-02-10,Class3,74
10.0,qid,nvs,2010-10-13,Class5,76
11.0,fdl,exaclqf,2001-12-05,Class1,83
12.0,svogq,nbcebk,2004-04-08,Class3,69
13.0,ycofxotk,nzus,2008-11-12,Class1,70
14.0,wmpmejqx,wlotdxu,2008-06-15,Class4,70
15.0,zbzg,kkpyps,2004-10-02,Class1,71
16.0,pgftmw,wmwqrxv,2005-08-12,Class3,85
17.0,mewmlj,mdtpqzby,2006-10-21,Class2,67
18.0,mwepq,buppri,2007-09-07,Class4,71
19.0,dxzlrr,ononvmmk,2004-07-06,Class2,70
20.0,eqjrc,tdhjfl,2002-02-16,Class1,78
21.0,srnkbss,bxf,2007-12-18,Class1,83
22.0,ppaxz,ddw,2004-03-22,Class2,73
23.0,moxy,nanhf,2010-10-02,Class1,73
24.0,qthrqdd,waza,2005-06-25,Class2,79
25.0,dxcyhhos,sgs,2003-05-07,Class4,83
26.0,xdi,qdupmd,2003-06-07,Class5,82
27.0,brdcgb,sjdyzfhs,2008-08-23,Class5,70
28.0,arhhqev,knm,2006-06-27,Class5,69
29.0,nxh,vhncr,2010-06-04,Class2,85
30.0,gcmtxqrq,ahtcc,2007-10-28,Class2,71
31.0,srddz,pqzr,2005-04-08,Class4,67
32.0,fap,zhybvg,2002-07-26,Class3,85
33.0,vfxejk,siq,2002-09-10,Class3,69
34.0,ybtt,eyhdjev,2008-11-27,Class3,83
35.0,hkrcnp,vobyx,2002-06-15,Class4,66
36.0,cgqgnztv,asyzxfm,2003-02-27,Class1,83
37.0,qah,zzxc,2006-07-11,Class2,80
38.0,gsbcygpw,laaumeig,2008-10-04,Class3,84
39.0,tqyvehbh,hpvrerke,2002-10-31,Class5,83
40.0,twzu,ylotfha,2000-07-19,Class2,71
41.0,alxd,uly,2001-01-02,Class3,65
42.0,qktnqat,juuroawr,2005-03-15,Class2,74
43.0,repflj,vvfpko,2006-09-20,Class3,69
44.0,ooaip,fmqe,2004-07-25,Class1,83
45.0,xmbypwj,wfzcwbdk,2001-08-02,Class5,76
46.0,qkeqc,bugkdvs,2006-08-12,Class2,79
47.0,miuyme,mgxmk,2007-12-21,Class3,74
48.0,isxtna,fin,2007-11-24,Class2,83
49.0,jvzjx,fvvvodh,2000-10-20,Class3,72
50.0,gcz,iwl,2008-04-13,Class3,79
51.0,dddo,xyjbjktz,2010-02-03,Class3,68
52.0,jxpoj,iwuvgvuz,2003-01-29,Class2,80
53.0,ezkzawu,brjh,2008-11-30,Class1,76
54.0,htyaxcd,tskbuxfy,2002-06-07,Class3,80
55.0,qwowjuy,hqcn,2005-07-06,Class5,72
56.0,bcvnkcb,ryeqwxdm,2009-07-02,Class3,75
57.0,qbobno,zhkyxwe,2003-02-14,Class3,74
58.0,ndnljmnf,qjezwf,2009-01-19,Class2,75
59.0,czczt,exsvcdz,2010-12-13,Class1,65
60.0,xjdrt,aongfdt,2010-12-14,Class4,70
61.0,ucxjyj,ibqy,2007-07-07,Class1,73
62.0,jsccitm,hhbpqh,2006-12-10,Class1,68
63.0,lrttfz,azjr,2007-05-31,Class5,77
64.0,sywl,zsgogyhe,2004-05-30,Class5,70
65.0,kucmjjiy,txzguhw,2001-10-10,Class2,81
66.0,cxs,hok,2003-07-05,Class2,73
67.0,zkkpfh,kgmwso,2010-01-02,Class3,72
68.0,fzdj,mkligzbh,2004-11-28,Class1,84
69.0,pclabpc,xvbwb,2007-10-02,Class3,68
70.0,lei,qthwooa,2010-07-03,Class1,75
71.0,sdmvodx,dvrnr,2006-01-12,Class1,68
72.0,yut,lttpcmyi,2008-11-10,Class3,75
73.0,welt,oqfdvmsr,2009-12-27,Class2,80
74.0,jneuf,jqirw,2003-06-03,Class2,72
75.0,ttnxwuvx,ywotnij,2001-11-01,Class1,68
76.0,imlltun,byyll,2003-11-23,Class4,81
77.0,hmlwnpi,pfyxrh,2003-10-13,Class5,65
78.0,vpyxp,mxjhdsw,2002-03-07,Class5,69
79.0,rwsr,zyviefwb,2009-09-21,Class2,78
80.0,txaxpbi,ilnwts,2007-01-09,Class3,83
81.0,xqjs,yjhtso,2010-09-22,Class3,83
82.0,figwk,hvisum,2007-11-18,Class2,73
83.0,wrzdy,dpbtkzz,2010-07-10,Class1,82
84.0,rivdr,xpwxza,2003-10-05,Class1,75
85.0,hfxeelto,txq,2002-05-22,Class2,73
86.0,pai,zkvwcz,2002-10-09,Class3,75
87.0,svuzjo,sthgeg,2007-04-18,Class5,81
88.0,mbjujrcp,cbawlbos,2005-07-15,Class1,71
89.0,gtbqv,agbilmz,2010-08-08,Class5,81
90.0,lxc,vmxc,2000-01-30,Class2,80
91.0,cjrtd,owryxu,2002-02-24,Class5,84
92.0,uiv,vhqqfthw,2004-08-01,Class3,77
93.0,gpca,xioig,2008-04-17,Class5,65
94.0,dlkrjw,jpvztvgx,2009-11-28,Class4,75
95.0,pidfe,gvln,2000-04-23,Class1,71
96.0,iokszexj,tpimjzbq,2007-05-16,Class2,79
97.0,hwzikj,sytnc,2003-01-18,Class2,74
98.0,ojyolw,uerbj,2003-09-22,Class2,85
99.0,csdcpox,ufgh,2009-07-18,Class3,66
100.0,qryqjmlp,ianvpob,2005-04-16,Class3,73
101.0,fnpbsp,avmub,2000-08-21,Class3,66
102.0,vfxtlskm,kppyqlba,2010-03-22,Class2,78
